ID,Credit Given,Gender,Education,Marital Status,Age,Pay Stat M1,Bill Amt M1,Amt Paid M1,Pay Stat M2,Bill Amt M2,Amt Paid M2,Pay Stat M3,Bill Amt M3,Amt Paid M3,Default Next Month
CC-002,120000,Female,University,Never Married,26,0,3272,1000,0,3455,0,2,3261,2000,Yes
CC-003,90000,,University,Never Married,34,0,14331,1000,0,14948,1000,0,15549,5000,No
CC-004,50000,Female,University,Married,37,0,28314,1100,0,28959,1069,0,29547,1000,No
CC-005,50000,Male,,Married,57,0,20940,9000,0,19146,689,0,19131,679,No
CC-006,50000,Male,Graduate School,Never Married,37,0,19394,1000,0,19619,1000,0,20024,800,No
CC-007,500000,Male,Graduate School,Never Married,29,0,542653,20239,0,483003,13750,0,473944,13770,No
CC-008,100000,Female,University,,23,0,221,581,0,-159,1687,-1,567,1542,No
CC-009,140000,Female,High School,Married,28,0,12211,1000,0,11793,1000,0,3719,1000,No
CC-011,200000,,High School,Never Married,34,0,2513,300,0,1828,3738,-1,3731,66,No
CC-012,260000,Female,Graduate School,Never Married,51,-1,8517,22301,-1,22287,0,2,13668,3640,No
CC-013,630000,Female,,Never Married,41,-1,6500,6500,-1,6500,2870,-1,2870,0,No
CC-014,70000,Male,University,Never Married,30,0,66782,3000,0,36137,1500,2,36894,0,Yes
CC-015,250000,Male,Graduate School,Never Married,29,0,59696,3000,0,56875,3000,0,55512,3000,No
CC-016,50000,Female,High School,Others,23,0,28771,1200,0,29531,1300,0,30211,1100,No
CC-017,20000,Male,Graduate School,Never Married,24,2,18338,0,2,17905,1650,2,19104,0,Yes
CC-018,320000,Male,Graduate School,Married,49,-1,70074,20000,-1,5856,195599,-1,195599,50000,No
CC-021,130000,Female,High School,Never Married,39,0,20616,2000,0,11802,930,-1,930,33764,No
CC-022,120000,Female,University,Married,39,-1,0,632,-1,632,316,-1,316,0,Yes
CC-023,70000,Female,University,Never Married,26,2,44006,3601,2,46905,0,2,46012,1820,Yes
CC-025,90000,Male,Graduate School,Never Married,23,-1,5398,1200,0,6360,2045,0,8292,2000,No
CC-026,50000,Male,High School,Never Married,23,0,28967,1432,0,29829,1062,0,30046,997,No
CC-027,60000,Male,Graduate School,Never Married,27,-1,-57,500,-1,127,0,-1,-189,1000,Yes
CC-028,50000,Female,High School,Never Married,30,0,17878,1500,0,18931,1000,0,19617,1012,No
CC-029,50000,Female,High School,Married,47,-1,2040,30430,-1,30430,257,-1,257,0,No
CC-030,50000,Male,Graduate School,Never Married,26,0,17907,1000,0,18375,1600,0,11400,0,No
CC-031,230000,Female,Graduate School,Never Married,27,-1,15339,14307,-1,14307,37292,-1,36923,0,No
CC-032,50000,Male,University,Never Married,33,0,22734,1000,0,23217,1000,0,23680,716,Yes
CC-033,100000,Male,Graduate School,Never Married,32,0,80958,3204,0,78703,3200,0,75589,2504,No
CC-037,280000,Male,University,Married,40,0,170410,6400,0,173901,6400,0,177413,6737,No
CC-038,60000,Female,University,Never Married,22,0,6026,0,0,-28335,47671,-1,18660,617,No
CC-040,280000,Male,Graduate School,Never Married,31,-1,9976,8000,0,17976,9525,-1,9477,781,No
CC-041,360000,Male,Graduate School,Never Married,33,0,628699,188840,0,195969,28000,0,179224,4000,No
CC-042,70000,Female,Graduate School,Never Married,25,0,63699,2500,0,64718,2800,0,65970,2500,No
CC-043,10000,Male,University,Never Married,22,0,3576,300,0,3670,1000,0,4451,500,No
CC-044,140000,Female,University,Married,37,0,64280,4000,0,67079,4000,0,69802,3000,No
CC-045,40000,Female,Graduate School,Never Married,30,2,25209,2000,0,26636,3000,0,29197,0,No
CC-047,20000,Female,Graduate School,,22,-1,16341,334,0,16675,0,0,0,0,Yes
CC-049,380000,Male,University,Never Married,32,-1,32018,11851,-1,11849,11875,-1,11873,8251,No
CC-050,20000,Male,Graduate School,Never Married,24,0,19865,928,0,20480,912,0,20063,1069,No
CC-051,70000,Male,High School,Never Married,42,2,39423,0,2,38659,1500,0,39362,1500,Yes
CC-052,100000,Female,High School,Others,43,0,39619,2000,0,35762,1500,0,33258,1000,No
CC-054,180000,Female,Graduate School,Never Married,25,0,43510,1762,0,44420,1790,0,45319,1622,No
CC-055,,Female,Graduate School,Never Married,29,0,26518,1500,0,21042,2000,0,16540,5000,No
CC-057,180000,Female,High School,Married,34,-1,7142,679,-1,-679,9000,-1,8321,2000,No
CC-058,180000,Female,University,Married,34,0,168608,4814,0,132202,4816,0,129918,3800,No
CC-059,200000,,Graduate School,Never Married,34,2,1166,0,2,700,1200,2,1414,0,No
CC-060,400000,Female,University,Married,29,0,360199,12000,0,356656,12000,0,364089,23000,No
CC-061,500000,Female,High School,Married,28,0,14937,1000,0,13827,2000,0,15571,2000,Yes
CC-062,70000,Male,University,Married,39,0,16518,2000,0,14096,3000,-1,830,0,No
CC-063,50000,Male,Graduate School,Never Married,29,2,25865,2225,2,27667,1200,2,28264,0,Yes
CC-066,200000,Male,Graduate School,Married,57,-1,8174,300,2,8198,0,2,7918,1000,Yes
CC-067,10000,Male,University,Married,56,0,4062,200,0,4196,200,0,4326,160,Yes
CC-068,210000,Female,Graduate School,Never Married,30,-1,2280,300,-1,300,4250,-1,4250,909,No
CC-069,130000,Female,High School,Never Married,29,-1,10311,0,2,10161,7319,-1,7319,13899,No
CC-070,20000,Male,Others,Never Married,22,0,18085,500,0,11205,1000,0,5982,0,No
